Headline,label
Footer Navigation,0
Wrestling  Vale s Ava Collins stuns nationally ranked opponent in Idaho s Rollie Lane Invitational,0
Editorial       must be a year of courage and action,1
What TV channel is Seahawks vs Rams today  Free live stream  prediction  odds  time  how to watch Seattle vs Los Angeles online           ,1
Oregon women s basketball renews rivalry with Arizona with both in search of top    win,1
Kate Brown  Unpopular governor leaves legacy of COVID safety  clemency  climate regulation  but also disappointment,-1
Cincinnati Bengals vs Baltimore Ravens free live stream  score  odds  time  TV channel  how to watch NFL online           ,1
Recapping Oregon Ducks  Holiday Bowl win  coach Dan Lanning s first year grades  Talkin  Ducks,1
Colorado defense silences Oregon State  as Beavers score a season low in       loss,-1
Mount Hood ski forecast for Jan       Where to find the best conditions,1
Teaching children to read  Which districts use phonics based programs,0
Eugene based author Cai Emmons  who wrote about living with a fatal ALS diagnosis  dies at   ,-1
Beignet bummer  NOLA Doughnuts closes all Portland area locations,-1
CES products range from flashy to creepy to cool     highlights,1
Already a Subscriber,0
What TV channel is   ers vs Cardinals today  Free live stream  prediction  odds  time  how to watch San Francisco vs Arizona online           ,1
SAIF says data breach may have compromised Social Security numbers  medical information,1
   year old caught driving stolen car through North Portland  police say,-1
Dear Doctor  Very low testosterone can cause loss of muscle and bone,-1
Boy     intentionally shot teacher at school  police say,0
Nude photo and sex texts sent to student lead to Vancouver teacher s arrest  police say,-1
New fast spreading COVID    variant with creepy nickname  What we know,0
Abortion pills to become available at retail  online pharmacies under      FDA change,0
Oregonians to receive     million in unclaimed money,0
Circles in the Sand schedule released for      on southern Oregon coast,0
Your Regional News Pages,0
READ MORE TOP NEWS ,1
Bill Monroe  Some of the Oregon State Police Fish and Wildlife Division s encounters are stranger than fiction,0
Fans pour into Highmark Stadium paying tribute to Buffalo Bills  Damar Hamlin  see photos ,0
N Faly Dante  Will Richardson lead Oregon men s basketball to upset at Utah  keep Ducks  postseason hopes alive,1
More on OregonLive com,0
Tesla crash off cliff shatters idyllic image of California doctor s family,-1
Letter from the Editor  We fight for information you deserve to know,-1
Idaho quadruple murder suspect and white Elantra sedan  The trail began with the car,-1
What TV channel is Bears vs Vikings today  Free live stream  prediction  odds  time  how to watch Chicago vs Minnesota online           ,1
Oregon State Beavers at Arizona State Sun Devils women s basketball score updates  live stream  TV channel         ,-1
Former Oregon Ducks quarterback Jay Butterfield commits to transfer to San Jose State,0
Liz Weston  I want to leave my home to a friend when I die  What s the best way ,1
Arrest made in      Portland house party shooting that killed Jemare Manns,-1
Ask Extension  I found a praying mantis egg case  Should I move it ,1
Readers respond  IP    is bad for Oregon,-1
Dear Doctor  Are all the medications I take suppressing my dream sleep ,1
Oregon Ducks coach Dan Lanning gets portrait tattoo of wife Sauphia with several meaningful symbols,1
Want to get rid of moss in your landscape  Not so fast  Ask Extension,0
Let s go eat absurdly inexpensive Cantonese food at Fortune BBQ,0
No  Hooters is not closing because of  millennials ,-1
  men arrested after running from Portland police,-1
Basketball game at Franklin High School postponed after parking lot shooting injures  ,-1
Portland s Sunday showers turn to rain Monday  highs in the low   s,-1
What TV channel is Commanders vs Cowboys today  Free live stream  prediction  odds  time  how to watch Washington vs Dallas online           ,1
Preservationists say windows at former Portland Korean Church are worth saving  Are they Povey Brothers glass ,1
Hidden glass float schedule released for      in Lincoln City,0
Never opened      million plus biofuels refinery facing foreclosure in southern Oregon,0
Too many Oregon children can t read  Should districts be forced to drop discredited curriculum ,-1
After chaotic vote for speaker  Oregon Republican Lori Chavez DeRemer happy to be sworn in,0
What TV channel is Dolphins vs Jets today  Free live stream  prediction  odds  time  how to watch Miami vs New York online           ,1
What TV channel is Falcons vs Buccaneers today  Free live stream  prediction  odds  time  how to watch Atlanta vs Tampa Bay online           ,1
Tacoma guaranteed income program shows how much it can help,1
Clear Creek Distillery founder dies  a final toast to Steve McCarthy  Steve Duin column,1
 Today  show segment gives a shout out to Portland hotel and hostel as a women s travel pick,0
Buffalo Bills vs New England Patriots free live stream  score  odds  time  TV channel  how to watch NFL online           ,1
Denver Broncos vs Los Angeles Chargers free live stream  score  odds  time  TV channel  how to watch NFL online           ,1
Man who pointed laser at officers outside Portland s federal courthouse gets time served,0
Workforce participation remains depressed  especially in rural Oregon,-1
NFL playoffs  Busy Week    slate will decide playoff field,0
Portland Public Schools slows efforts to end early algebra for select middle schoolers,0
Singer Woody Guthrie s rented flat in Lents is for sale  his Portland legacy remains,0
Romance novelist who faked suicide reemerges online,-1
Pedestrian dies after being hit by a car in Southeast Portland,0
Portland pedestrian killed on SE Division identified  second fatal crash of     ,-1
Pittsburgh Steelers vs Cleveland Browns free live stream  score  odds  time  TV channel  how to watch NFL online           ,1
What TV channel is Saints vs Panthers today  Free live stream  prediction  odds  time  how to watch New Orleans vs Carolina online           ,1
Betty Jean Lee  who led the family business that introduced Chinese takeout to Portland  dies at   ,0
What is Kevin McCarthy s speakership going to be like ,1
See the most expensive home for sale in each of Oregon s    counties,0
What TV channel is North Dakota State vs South Dakota State football on today  Live stream  odds,0
Philadelphia Eagles vs New York Giants free live stream  score  odds  time  TV channel  how to watch NFL online           ,1
Liz Weston  Why don t most credit cards require a PIN when you use them ,1
