Headline,label
NFL  Dolphins pip Pats and Steelers to playoff spot as Bills honor Hamlin,1
Water  Fears US supreme court could radically reshape clean water rules,1
 This is no way to live   Mississippians struggle with another water crisis,-1
First Thing email newsletter,0
Pope Benedict XVI  Time lapse shows thousands of people gathering to attend funeral,-1
 Disability is not a tragedy   The remarkable life of activist and rebel Hale Zukas,0
Racism rebranded  How far right ideology feeds off identity politics,-1
 It s my Mousetrap   Michael Frayn on Noises Off  a farce to be reckoned with,-1
ADHD  What does the Adderall shortage in the US mean for ADHD patients ,0
US Mexico  Biden visits border for first time as critics condemn his migrant crackdown,-1
Italo Calvino  The Written World and the Unwritten World review   a box of delights,1
Ana Bel n Montes  US releases top Cuba spy after    years in prison,-1
Paul Mescal  Normal People actor set to star in Ridley Scott s Gladiator sequel,0
Travel     of the best secret retreats in the Canary Islands,1
Alcarr s director Carla Sim n   I have feelings for Spanish culture and Catalan culture ,0
Young people don t hate their bodies because they are weak   but because capitalism demands it,-1
Play the Guardian s new daily word game and share your score with your friends,1
Prince Harry defends tell all memoir in furious ITV interview,-1
Books  Meet the    best new novelists for     ,1
Across the country,0
Louisiana  Ex police deputy given     year sentence for sex crimes,0
 You re my hero   How Zelenskiy became Hollywood s man of the hour,1
Wordiply thrasher,0
Virginia Shooting a red flag for US  says mayor,0
Immigration Biden s  carrot and stick  approach met with anger,-1
Search for Texas vigilante who fatally shot robbery suspect carrying fake gun,-1
The Kardashians  Billion Dollar Dynasty review  Who knew that Kim was once the face of a toilet ,0
 No rational reason   Zelenskiy criticises west sending armoured vehicles instead of tanks,-1
 A fearless preacher   Pope Francis leads Catholics at Benedict s funeral,0
Prince Harry  Prince Harry defends tell all memoir in furious ITV interview,-1
Victoria Lee  Rising MMA star dies at age of   ,0
X marks the spot  Newly released map sparks hunt for    m Nazi hoard,0
Virginia shooting of teacher by six year old  not accidental   authorities say,0
Nigel Slater s recipes  Breakfast muffins  and kipper cakes with dill sauce,0
Sculpture  Balloon animals beyond the poodle,0
Brutalised  broken  mended  Inside Ukraine s rehabilitation centre for wounded veterans,-1
 One more embarrassment   McCarthy debacle wearily received in California home town,-1
A new start after     I became a naturist at      and it felt like freedom,1
Live  Brazil protests  Bolsonaro denounces violence as     arrested after his supporters storm congress  live,-1
Andrew Tate isn t feminism s inadvertent bastard child  He s sexism s last gasp,-1
Einstein  Piaf  Twiggy  Marilyn Stafford s extraordinary life behind the lens,0
Rohingya  Refugees bet lives on boat crossings despite rising death toll,1
Publishing  Man pleads guilty to stealing more than       manuscripts,-1
Who wants to live for ever  Only billionaires like Jeff Bezos,1
After chaotic week  McCarthy faces new battle as House votes on rules package,-1
Russell Banks  Award winning fiction writer dies at   ,1
California  Thousands without power as state braces for next onslaught of storms,0
Israel  Palestinian foreign minister says travel permit has been revoked,0
Virginia  Shooting of teacher by six year old  not accidental   authorities say,0
The weekend s best photos  Delhi Pride and Peru protests,1
New Mexico  Police investigate shootings at officials  homes and offices,0
Harry  The Interview review  So horribly sad it could have turned the Queen anti monarchy,-1
Kevin McCarthy   After chaotic week  speaker faces next battle as House votes on rules package,-1
Cellphones  cameras  DNA  How police caught Idaho student killings suspect,-1
Blind date   I fired half a baklava across the table  but I think I styled it out ,-1
Minsk  Russia and Belarus extend military drills amid fears of new push into Ukraine,-1
Live  Bolsonaro denounces violence as     arrested after his supporters storm congress,-1
Mexico City  At least one dead and    injured in collision on metro,-1
NFL  Trainer who rushed to Damar Hamlin s aid lauded as  real hero ,1
Germany  Police arrest Iranian man suspected of planning chemical attack,-1
China  Borders reopen as lunar new year travel kicks off amid Covid surge,0
Prince Harry s book could be  beginning of end  for royals  warns Charles s biographer,0
The US should break up monopolies   not punish working Americans for rising prices,1
Myanmar  On the frontline with the rebel army fighting brutal junta,-1
Alex Jones   Lawyer s license is suspended for releasing sensitive records,-1
Congress attack What we know so far,-1
Under the  we pay  you entertain  deal  Harry is now the hardest working royal,0
 Vulnerable boys are drawn in   Schools fear spread of Andrew Tate s misogyny,-1
Chicago  New report details sexual misconduct allegations in public school system,0
Aston Villa     Stevenage  Campbell s late stunner causes FA Cup upset,-1
Documentary thrasher,0
Jair Bolsonaro supporters storm Brazil s presidential palace and supreme court,1
At a glance What we know on day     of the invasion,0
H bombs or chicken bones  The race to define the start of the Anthropocene,0
Monkeys  Revealed  US allowing long tailed macaque imports despite risk of disease,0
In his own write  Prince Harry s ghostwriter is so famous that George Clooney made a film of his life,0
News  sport and opinion from the Guardian s US edition,0
Contact the Guardian,0
